Group,Task Pair,Mean Cosine,Std Cosine,Conflict Ratio
bev0_ffn,det_vs_map,-0.0027,0.1515,0.5469
bev0_ffn,det_vs_motion,0.1418,0.3673,0.3906
bev0_ffn,map_vs_motion,-0.0399,0.1684,0.5938
bev0_ffn,plan_vs_det,-0.0176,0.1883,0.4531
bev0_ffn,plan_vs_map,0.0354,0.2272,0.3594
bev0_ffn,plan_vs_motion,0.0123,0.2596,0.5000
bev0_norm_0,det_vs_map,0.0549,0.2537,0.4062
bev0_norm_0,det_vs_motion,0.0626,0.4231,0.5312
bev0_norm_0,map_vs_motion,-0.0655,0.2566,0.5781
bev0_norm_0,plan_vs_det,0.0051,0.2225,0.5156
bev0_norm_0,plan_vs_map,0.0098,0.2294,0.4531
bev0_norm_0,plan_vs_motion,-0.0414,0.2883,0.5469
bev0_norm_1,det_vs_map,-0.0099,0.4491,0.5469
bev0_norm_1,det_vs_motion,0.1607,0.5010,0.3594
bev0_norm_1,map_vs_motion,0.0111,0.4558,0.5312
bev0_norm_1,plan_vs_det,-0.0325,0.3907,0.5000
bev0_norm_1,plan_vs_map,0.0734,0.4164,0.3906
bev0_norm_1,plan_vs_motion,0.0178,0.4169,0.3750
bev0_norm_2,det_vs_map,-0.0270,0.2290,0.5469
bev0_norm_2,det_vs_motion,0.1452,0.4025,0.3594
bev0_norm_2,map_vs_motion,-0.0407,0.2408,0.5469
bev0_norm_2,plan_vs_det,-0.0222,0.2280,0.4688
bev0_norm_2,plan_vs_map,0.0120,0.2563,0.5000
bev0_norm_2,plan_vs_motion,-0.0026,0.2861,0.4844
bev0_spatial_cross_attn,det_vs_map,-0.0027,0.1289,0.4531
bev0_spatial_cross_attn,det_vs_motion,0.1252,0.3698,0.3906
bev0_spatial_cross_attn,map_vs_motion,-0.0231,0.1416,0.5625
bev0_spatial_cross_attn,plan_vs_det,0.0091,0.1451,0.4844
bev0_spatial_cross_attn,plan_vs_map,0.0174,0.1425,0.4531
bev0_spatial_cross_attn,plan_vs_motion,-0.0395,0.2215,0.5000
bev0_temporal_self_attn,det_vs_map,-0.0077,0.1255,0.5156
bev0_temporal_self_attn,det_vs_motion,0.1593,0.3735,0.3125
bev0_temporal_self_attn,map_vs_motion,-0.0080,0.1193,0.5312
bev0_temporal_self_attn,plan_vs_det,-0.0015,0.1592,0.6094
bev0_temporal_self_attn,plan_vs_map,-0.0151,0.1091,0.5938
bev0_temporal_self_attn,plan_vs_motion,0.0072,0.2260,0.5156
bev1_ffn,det_vs_map,-0.0109,0.1862,0.5625
bev1_ffn,det_vs_motion,0.1397,0.3157,0.3906
bev1_ffn,map_vs_motion,-0.0215,0.1842,0.5312
bev1_ffn,plan_vs_det,-0.0097,0.1364,0.5000
bev1_ffn,plan_vs_map,-0.0096,0.1782,0.5156
bev1_ffn,plan_vs_motion,0.0610,0.3274,0.4219
bev1_norm_0,det_vs_map,-0.0158,0.4424,0.5000
bev1_norm_0,det_vs_motion,0.1720,0.5202,0.3594
bev1_norm_0,map_vs_motion,-0.1027,0.3763,0.6094
bev1_norm_0,plan_vs_det,0.0007,0.4403,0.4844
bev1_norm_0,plan_vs_map,0.0925,0.4372,0.4219
bev1_norm_0,plan_vs_motion,0.0275,0.4541,0.4688
bev1_norm_1,det_vs_map,-0.0426,0.4658,0.5156
bev1_norm_1,det_vs_motion,0.2102,0.5629,0.3438
bev1_norm_1,map_vs_motion,-0.1769,0.4271,0.6562
bev1_norm_1,plan_vs_det,-0.0289,0.3726,0.5156
bev1_norm_1,plan_vs_map,0.0078,0.4247,0.4531
bev1_norm_1,plan_vs_motion,0.0635,0.4030,0.3906
bev1_norm_2,det_vs_map,-0.0255,0.1857,0.5312
bev1_norm_2,det_vs_motion,0.1178,0.3334,0.4062
bev1_norm_2,map_vs_motion,-0.0130,0.2161,0.5469
bev1_norm_2,plan_vs_det,-0.0098,0.1597,0.5000
bev1_norm_2,plan_vs_map,0.0037,0.2188,0.5156
bev1_norm_2,plan_vs_motion,0.0818,0.3699,0.4062
bev1_spatial_cross_attn,det_vs_map,0.0273,0.6091,0.4844
bev1_spatial_cross_attn,det_vs_motion,0.1743,0.5877,0.3438
bev1_spatial_cross_attn,map_vs_motion,-0.1177,0.5187,0.5938
bev1_spatial_cross_attn,plan_vs_det,-0.0961,0.5350,0.5156
bev1_spatial_cross_attn,plan_vs_map,0.0157,0.5896,0.4375
bev1_spatial_cross_attn,plan_vs_motion,-0.0554,0.4956,0.5938
bev1_temporal_self_attn,det_vs_map,0.0127,0.0742,0.4531
bev1_temporal_self_attn,det_vs_motion,0.1529,0.3285,0.2812
bev1_temporal_self_attn,map_vs_motion,-0.0271,0.0869,0.6719
bev1_temporal_self_attn,plan_vs_det,0.0080,0.0931,0.4219
bev1_temporal_self_attn,plan_vs_map,0.0099,0.0891,0.4219
bev1_temporal_self_attn,plan_vs_motion,-0.0059,0.1752,0.4062
bev2_ffn,det_vs_map,0.0012,0.0413,0.5000
bev2_ffn,det_vs_motion,0.0876,0.2193,0.2812
bev2_ffn,map_vs_motion,0.0078,0.0688,0.4531
bev2_ffn,plan_vs_det,0.0018,0.0767,0.4844
bev2_ffn,plan_vs_map,0.0016,0.1058,0.5156
bev2_ffn,plan_vs_motion,0.0437,0.2578,0.4219
bev2_norm_0,det_vs_map,-0.0539,0.2509,0.6250
bev2_norm_0,det_vs_motion,0.0981,0.3471,0.4375
bev2_norm_0,map_vs_motion,-0.0050,0.2842,0.5625
bev2_norm_0,plan_vs_det,0.0005,0.1869,0.5156
bev2_norm_0,plan_vs_map,0.0032,0.2514,0.5312
bev2_norm_0,plan_vs_motion,0.0921,0.4167,0.4219
bev2_norm_1,det_vs_map,-0.0031,0.1405,0.5625
bev2_norm_1,det_vs_motion,0.0575,0.2810,0.3438
bev2_norm_1,map_vs_motion,0.0179,0.1865,0.4531
bev2_norm_1,plan_vs_det,-0.0022,0.1705,0.5312
bev2_norm_1,plan_vs_map,0.0070,0.2069,0.4844
bev2_norm_1,plan_vs_motion,0.0733,0.3893,0.4062
bev2_norm_2,det_vs_map,0.0035,0.0984,0.5000
bev2_norm_2,det_vs_motion,0.0590,0.2380,0.4062
bev2_norm_2,map_vs_motion,0.0069,0.1121,0.5156
bev2_norm_2,plan_vs_det,0.0059,0.1355,0.5312
bev2_norm_2,plan_vs_map,0.0221,0.1355,0.4062
bev2_norm_2,plan_vs_motion,0.0504,0.2879,0.4062
bev2_spatial_cross_attn,det_vs_map,-0.0130,0.1444,0.5625
bev2_spatial_cross_attn,det_vs_motion,0.1307,0.2892,0.3438
bev2_spatial_cross_attn,map_vs_motion,0.0083,0.1754,0.4844
bev2_spatial_cross_attn,plan_vs_det,-0.0132,0.1210,0.5156
bev2_spatial_cross_attn,plan_vs_map,-0.0003,0.2102,0.5156
bev2_spatial_cross_attn,plan_vs_motion,0.0773,0.3496,0.4219
bev2_temporal_self_attn,det_vs_map,0.0066,0.1067,0.5156
bev2_temporal_self_attn,det_vs_motion,0.1442,0.2887,0.2812
bev2_temporal_self_attn,map_vs_motion,0.0086,0.1185,0.4844
bev2_temporal_self_attn,plan_vs_det,0.0124,0.0763,0.4375
bev2_temporal_self_attn,plan_vs_map,-0.0012,0.1348,0.4844
bev2_temporal_self_attn,plan_vs_motion,0.0490,0.3000,0.3750
