Group,Task Pair,Mean Cosine,Std Cosine,Conflict Ratio
bev0_ffn,det_vs_map,-0.0188,0.1554,0.5469
bev0_ffn,det_vs_motion,0.1791,0.3199,0.2969
bev0_ffn,map_vs_motion,-0.0193,0.1772,0.5312
bev0_ffn,plan_vs_det,0.0061,0.2011,0.4688
bev0_ffn,plan_vs_map,-0.0410,0.2472,0.4531
bev0_ffn,plan_vs_motion,0.0114,0.2694,0.5156
bev0_norm_0,det_vs_map,-0.0261,0.2501,0.5312
bev0_norm_0,det_vs_motion,0.1622,0.4238,0.3438
bev0_norm_0,map_vs_motion,0.0189,0.2373,0.4688
bev0_norm_0,plan_vs_det,0.0716,0.2274,0.3438
bev0_norm_0,plan_vs_map,-0.0235,0.2448,0.5000
bev0_norm_0,plan_vs_motion,-0.0147,0.2793,0.5156
bev0_norm_1,det_vs_map,-0.0620,0.4785,0.5938
bev0_norm_1,det_vs_motion,0.1999,0.5096,0.3281
bev0_norm_1,map_vs_motion,-0.1030,0.4710,0.6094
bev0_norm_1,plan_vs_det,-0.0195,0.4376,0.5000
bev0_norm_1,plan_vs_map,-0.0131,0.4315,0.4844
bev0_norm_1,plan_vs_motion,0.0235,0.4635,0.4688
bev0_norm_2,det_vs_map,-0.0167,0.1896,0.5156
bev0_norm_2,det_vs_motion,0.1797,0.3358,0.3438
bev0_norm_2,map_vs_motion,0.0107,0.2107,0.5156
bev0_norm_2,plan_vs_det,0.0347,0.2218,0.4062
bev0_norm_2,plan_vs_map,-0.0246,0.2823,0.5312
bev0_norm_2,plan_vs_motion,0.0253,0.3011,0.5000
bev0_spatial_cross_attn,det_vs_map,-0.0043,0.1441,0.4844
bev0_spatial_cross_attn,det_vs_motion,0.1649,0.3814,0.3125
bev0_spatial_cross_attn,map_vs_motion,0.0080,0.1406,0.4688
bev0_spatial_cross_attn,plan_vs_det,0.0382,0.1723,0.3750
bev0_spatial_cross_attn,plan_vs_map,-0.0290,0.1885,0.5625
bev0_spatial_cross_attn,plan_vs_motion,0.0404,0.2399,0.4219
bev0_temporal_self_attn,det_vs_map,0.0003,0.0561,0.4844
bev0_temporal_self_attn,det_vs_motion,0.1150,0.3442,0.3125
bev0_temporal_self_attn,map_vs_motion,-0.0097,0.0908,0.5312
bev0_temporal_self_attn,plan_vs_det,-0.0088,0.1075,0.6094
bev0_temporal_self_attn,plan_vs_map,-0.0092,0.1282,0.5000
bev0_temporal_self_attn,plan_vs_motion,0.0418,0.1768,0.4219
bev1_ffn,det_vs_map,-0.0306,0.1882,0.6094
bev1_ffn,det_vs_motion,0.1943,0.2907,0.2500
bev1_ffn,map_vs_motion,-0.0306,0.1948,0.5781
bev1_ffn,plan_vs_det,0.0134,0.1566,0.4219
bev1_ffn,plan_vs_map,-0.0085,0.1801,0.4531
bev1_ffn,plan_vs_motion,-0.0093,0.3350,0.5469
bev1_norm_0,det_vs_map,-0.0644,0.4351,0.5312
bev1_norm_0,det_vs_motion,0.2417,0.5186,0.3438
bev1_norm_0,map_vs_motion,-0.0836,0.4197,0.6094
bev1_norm_0,plan_vs_det,-0.0173,0.4250,0.5000
bev1_norm_0,plan_vs_map,0.0339,0.4994,0.4531
bev1_norm_0,plan_vs_motion,-0.0338,0.4747,0.5156
bev1_norm_1,det_vs_map,-0.0313,0.4529,0.5156
bev1_norm_1,det_vs_motion,0.2721,0.4880,0.2969
bev1_norm_1,map_vs_motion,-0.1404,0.4556,0.6406
bev1_norm_1,plan_vs_det,0.0156,0.4598,0.4844
bev1_norm_1,plan_vs_map,0.0179,0.4558,0.4844
bev1_norm_1,plan_vs_motion,-0.0078,0.4767,0.5000
bev1_norm_2,det_vs_map,-0.0456,0.1974,0.6094
bev1_norm_2,det_vs_motion,0.1810,0.2957,0.2812
bev1_norm_2,map_vs_motion,-0.0393,0.2259,0.5469
bev1_norm_2,plan_vs_det,0.0149,0.1626,0.3750
bev1_norm_2,plan_vs_map,-0.0164,0.2225,0.5312
bev1_norm_2,plan_vs_motion,-0.0065,0.3801,0.5469
bev1_spatial_cross_attn,det_vs_map,-0.0800,0.6156,0.5781
bev1_spatial_cross_attn,det_vs_motion,0.2874,0.6656,0.2969
bev1_spatial_cross_attn,map_vs_motion,-0.1928,0.5845,0.6094
bev1_spatial_cross_attn,plan_vs_det,0.1187,0.5713,0.3906
bev1_spatial_cross_attn,plan_vs_map,-0.0526,0.5382,0.5625
bev1_spatial_cross_attn,plan_vs_motion,0.0144,0.5501,0.4844
bev1_temporal_self_attn,det_vs_map,-0.0114,0.0722,0.5781
bev1_temporal_self_attn,det_vs_motion,0.1801,0.3061,0.2812
bev1_temporal_self_attn,map_vs_motion,-0.0087,0.0842,0.5625
bev1_temporal_self_attn,plan_vs_det,0.0114,0.1371,0.4688
bev1_temporal_self_attn,plan_vs_map,-0.0097,0.1120,0.4375
bev1_temporal_self_attn,plan_vs_motion,0.0237,0.1910,0.5000
bev2_ffn,det_vs_map,0.0041,0.0467,0.4844
bev2_ffn,det_vs_motion,0.1033,0.2133,0.3594
bev2_ffn,map_vs_motion,0.0010,0.0552,0.5000
bev2_ffn,plan_vs_det,-0.0110,0.0820,0.5312
bev2_ffn,plan_vs_map,-0.0026,0.1015,0.4688
bev2_ffn,plan_vs_motion,0.0025,0.2648,0.5156
bev2_norm_0,det_vs_map,-0.0137,0.2610,0.5000
bev2_norm_0,det_vs_motion,0.1803,0.2993,0.2031
bev2_norm_0,map_vs_motion,-0.0229,0.2909,0.4688
bev2_norm_0,plan_vs_det,0.0245,0.1974,0.4219
bev2_norm_0,plan_vs_map,-0.0186,0.2250,0.4688
bev2_norm_0,plan_vs_motion,-0.0139,0.4295,0.4844
bev2_norm_1,det_vs_map,-0.0268,0.1479,0.5469
bev2_norm_1,det_vs_motion,0.1090,0.2646,0.3906
bev2_norm_1,map_vs_motion,0.0052,0.1709,0.5625
bev2_norm_1,plan_vs_det,-0.0223,0.1721,0.5156
bev2_norm_1,plan_vs_map,-0.0151,0.1875,0.5469
bev2_norm_1,plan_vs_motion,-0.0061,0.3859,0.4688
bev2_norm_2,det_vs_map,-0.0014,0.0769,0.5156
bev2_norm_2,det_vs_motion,0.0879,0.2181,0.3125
bev2_norm_2,map_vs_motion,0.0024,0.0855,0.5156
bev2_norm_2,plan_vs_det,-0.0287,0.1343,0.5781
bev2_norm_2,plan_vs_map,-0.0116,0.1359,0.5781
bev2_norm_2,plan_vs_motion,-0.0010,0.3004,0.4844
bev2_spatial_cross_attn,det_vs_map,-0.0138,0.1306,0.5000
bev2_spatial_cross_attn,det_vs_motion,0.1657,0.2653,0.3125
